--------------+----------------------------------------------
 Host IP      | 127.0.1.1
 PyTorch      | 2.4.0a0+git4451b0e
 Torch-SDAA   | 2.0.0
--------------+----------------------------------------------
 SDAA Driver  | 2.2.0 (N/A)
 SDAA Runtime | 2.0.0 (/opt/tecoai/lib64/libsdaart.so)
 SDPTI        | 1.3.1 (/opt/tecoai/lib64/libsdpti.so)
 TecoDNN      | 2.0.0 (/opt/tecoai/lib64/libtecodnn.so)
 TecoBLAS     | 2.0.0 (/opt/tecoai/lib64/libtecoblas.so)
 CustomDNN    | 1.22.0 (/opt/tecoai/lib64/libtecodnn_ext.so)
 TecoRAND     | 1.8.0 (/opt/tecoai/lib64/libtecorand.so)
 TCCL         | 1.21.0 (/opt/tecoai/lib64/libtccl.so)
--------------+----------------------------------------------
train Pnet argument:
Namespace(annotation_file='/data/application/huangyun/dface/anno_store/imglist_anno_12.txt', model_store_path='/data/application/huangyun/dface/model_store', end_epoch=10, frequent=1, lr=0.01, batch_size=512, use_cuda=True, **{'': None})
append flipped images to imdb 1498328
2025-09-03 06:47:46.888903 : Epoch: 1, Step: 100, accuracy: 0.7584097981452942, det loss: 0.5486976504325867, bbox loss: 0.15783068537712097, all_loss: 0.6276130080223083, lr:0.01 
2025-09-03 06:47:46.910699 : Epoch: 1, Step: 101, accuracy: 0.7302631735801697, det loss: 0.5751663446426392, bbox loss: 0.1642705202102661, all_loss: 0.6573016047477722, lr:0.01 
2025-09-03 06:47:46.932584 : Epoch: 1, Step: 102, accuracy: 0.7917981147766113, det loss: 0.5150282979011536, bbox loss: 0.14808796346187592, all_loss: 0.5890722870826721, lr:0.01 
2025-09-03 06:47:46.954620 : Epoch: 1, Step: 103, accuracy: 0.7875000238418579, det loss: 0.5270935297012329, bbox loss: 0.17432451248168945, all_loss: 0.6142557859420776, lr:0.01 
2025-09-03 06:47:46.976667 : Epoch: 1, Step: 104, accuracy: 0.800000011920929, det loss: 0.5062499642372131, bbox loss: 0.12847772240638733, all_loss: 0.5704888105392456, lr:0.01 
2025-09-03 06:47:46.998403 : Epoch: 1, Step: 105, accuracy: 0.7340067028999329, det loss: 0.5605834722518921, bbox loss: 0.1580468714237213, all_loss: 0.6396068930625916, lr:0.01 
2025-09-03 06:47:47.021520 : Epoch: 1, Step: 106, accuracy: 0.7586206793785095, det loss: 0.5510416030883789, bbox loss: 0.2728004455566406, all_loss: 0.6874418258666992, lr:0.01 
2025-09-03 06:47:47.043584 : Epoch: 1, Step: 107, accuracy: 0.805232584476471, det loss: 0.496682733297348, bbox loss: 0.16835318505764008, all_loss: 0.5808593034744263, lr:0.01 
2025-09-03 06:47:47.065599 : Epoch: 1, Step: 108, accuracy: 0.800000011920929, det loss: 0.5138290524482727, bbox loss: 0.17585474252700806, all_loss: 0.6017564535140991, lr:0.01 
2025-09-03 06:47:47.087727 : Epoch: 1, Step: 109, accuracy: 0.8173374533653259, det loss: 0.47901561856269836, bbox loss: 0.13944485783576965, all_loss: 0.5487380623817444, lr:0.01 
2025-09-03 06:47:47.109516 : Epoch: 1, Step: 110, accuracy: 0.8193548321723938, det loss: 0.49101272225379944, bbox loss: 0.17601686716079712, all_loss: 0.579021155834198, lr:0.01 
2025-09-03 06:47:47.133000 : Epoch: 1, Step: 111, accuracy: 0.7716049551963806, det loss: 0.5297359228134155, bbox loss: 0.18298278748989105, all_loss: 0.6212273240089417, lr:0.01 
2025-09-03 06:47:47.155144 : Epoch: 1, Step: 112, accuracy: 0.8132911324501038, det loss: 0.47541195154190063, bbox loss: 0.15151193737983704, all_loss: 0.551167905330658, lr:0.01 
